category,subcategory,context_keywords,answer,notes
Installation & Application,Tight clearance,"access, and, spaces, clearance, tight","Yetifoam can often be installed even when access is limited. Encourage commenters with low subfloor clearance to lodge an enquiry so the team can evaluate whether their space is suitable. Mention that a site inspection may be required. Cutting and re‑attaching foam – Although Yetifoam cures into a dense, rigid layer , it can be cut back in targeted areas to gain access to pipes or wiring and then glued back into place. This process is similar to cutting and patching plasterboard and should be done by professionals. 1 Safety & Compliance",Source: Just SFTAS Doc.pdf
Fire Safety & Compliance,Fire safety,"building, compliance, and, fire, safety, rating","Yetifoam meets Australian fire‑safety standards, including AS 1530.3 (Ignitability, Flame Spread, Heat Release and Smoke Development), Flame Spread, Heat Release and Smoke Development). The standard formulation is a Class 2 insulation. When a higher fire rating is required, an intumescent paint can be applied over the foam to achieve a Class 1 rating. We suggest the appropriate system and any additional coatings will be recommended based on the project’s BAL (Bushfire Attack Level) rating and construction type. Not flammable or banned – Yetifoam has not been banned in any country and is widely used because of its fire performance and energy efficiency. When installed correctly it is not “very flammable.” If a commenter refers to bans, collapses or other problems overseas, they are likely thinking of different spray‑foam products used in other countries. Yetifoam is not generic Yetifoam and no such issues have occurred in Australia. It's important to know that Yetifoam is designed specifically for Australian conditions and complies with relevant standards.",Source: Just SFTAS Doc.pdf
Fire Safety & Compliance,Chemical compatibility,"electrical, safety, compatibility, chemical","Yetifoam is made from polyurethane and is chemically compatible with PVC cable insulation. Polystyrene, not polyurethane, is the material known to damage cables. Rest assured Yetifoam will not react with wiring. <!-- Electrical safety report section removed: customers should consult licensed electricians for any electrical assessment. -- >",Source: Just SFTAS Doc.pdf
Fire Safety & Compliance,Formaldehyde‑free,"formaldehyde‑free, and, formaldehyde, safety, chemical","Some other insulation products still use formaldehyde as a binding agent. Yetifoam contains no formaldehyde. It is semi‑rigid and does not release fibres or particles during or after installation, unlike fibreglass batts. Polyurethane safety – Polyurethane is widely used in everyday products such as fridges, mattresses, HVAC units, carpet underlay, shoes and furniture. this demonstrates the material’s safety when used as insulation.",Source: Just SFTAS Doc.pdf
Moisture Resistance,Moisture barrier,"and, condensation, moisture, concerns, barrier","Yetifoam acts as a vapour barrier with a Vapor permeability below 1.0 perms (per ASTM E96), preventing water ingress and condensation on steel or timber surfaces. It is the go‑to insulation for steel sheds and container homes because it stops interior condensation and rust by blocking moisture. No moisture entrapment – Proper application of Yetifoam requires moisture testing of the substrate. Applicators use calibrated moisture meters to ensure the substrate is dry; if levels are too high, installation is postponed. Because the foam will not adhere properly to a damp surface, there is zero risk of trapping moisture. Once applied, the exothermic curing process drives out residual moisture, and the continuous foam layer prevents future moisture entry. Unlike fibreglass, Yetifoam will not absorb water and will not contribute to mould or rot.• 2 Installation & Application",Source: Just SFTAS Doc.pdf
Thermal Performance,R‑value performance,"and, r‑value, thickness, performance","Yetifoam’s thermal resistance depends on thickness. For example, 90mm of Yetifoam provides R4.0-R4.5, compared to R2.5 for equivalent bulk insulation.5. It's important to know that real‑world R‑values for batt products can be much lower than laboratory values due to wind wash, thermal bridging and installation gaps. Yetifoam maintains its full R‑value because it adheres directly to the substrate and eliminates air leakage.",Source: Just SFTAS Doc.pdf
Moisture Resistance,Air and vapour seal,"seamless, and, seal, air, vapour, benefits, additional, barrier","Yetifoam expands to fill every gap and crevice, creating a continuous air‑ and vapour‑tight barrier. This superior air sealing eliminates drafts and thermal bridging, which are common causes of heat loss in traditional insulation systems. Structural integrity and squeak reduction – Because Yetifoam bonds the subfloor to the joists, it reinforces the floor structure and can eliminate squeaks and movement. Customers frequently report that their floors feel stronger and quieter after installation. Longevity and sag‑free performance – Yetifoam does not sag, settle or lose its insulating properties over time. Unlike fibreglass batts, which can become compressed, dislodged or degraded, Yetifoam remains in place and continues to perform for the life of the building. Sound dampening – The rigid, continuous foam layer also reduces noise transmission through floors, contributing to a quieter home. Pest and rodent deterrence – Yetifoam contains boron compounds that act as a natural insect and rodent deterrent. The solid, high‑density barrier offers no nesting material and is difficult to gnaw through. By sealing every entry point, Yetifoam helps prevent infestations of rodents and wood‑boring insects.",Source: Just SFTAS Doc.pdf
Moisture Resistance,Sheds and condensation,"container, and, homes, sheds,, applications, condensation, special, sheds, steel","Yetifoam is ideal for insulating steel sheds, shipping containers and other metal structures. It serves as both insulation and a vapour barrier , eliminating condensation rather than just managing it. For projects exposed to salt air or harsh coastal conditions, Yetifoam can be applied over a suitable primer. Customers are encouraged to send project details and, if needed, photos of existing conditions for assessment. Container homes – The same moisture‑barrier and thermal benefits make Yetifoam a common choice for container homes. It insulates and protects steel structures from rust and condensation.",Source: Just SFTAS Doc.pdf
Installation & Application,Low clearance installs,"access, and, installs, low, clearance","Many Victorian homes have limited subfloor clearance. Yetifoam’s installers have experience working in tight spaces and will assess suitability on a case‑by‑case basis. Prospective customers should lodge an enquiry and, where possible, provide measurements or photos. 3 Performance & Benefits",Source: Just SFTAS Doc.pdf
Thermal Performance,Improved energy efficiency,"efficiency, and, improved, comfort, energy","By combining high R‑values with a complete air seal, Yetifoam dramatically reduces heat transfer , cuts drafts and lowers heating and cooling costs. Customers report substantial improvements in indoor comfort, with floors feeling warmer in winter and cooler in summer . Summer cooling – Yetifoam prevents external heat from entering the home in summer while retaining indoor warmth in winter , stabilising indoor temperatures year‑round. The insulating effect is similar to how an esky keeps contents hot or cold depending on what’s inside: the sealed environment maintains the desired temperature.",Source: Just SFTAS Doc.pdf
Moisture Resistance,Moisture resistance,"flood, and, resistance, moisture, resilience, control","Yetifoam serves as a moisture barrier , protecting subfloors from long‑term water damage, mould growth and wood rot. Drainage concerns are largely irrelevant because Yetifoam does not trap water; it blocks it. In some flood‑prone regions overseas, building codes require similar foam insulation to minimise flood damage.",Source: Just SFTAS Doc.pdf
Pricing & Cost,Requesting a quote,"action, requesting, requests, call, quote","We recommend you contact the team via the website or by phone to receive a personalised quote. Estimates depend on factors like the size of the space and any problem areas that need attention. Provide the link to the contact form and remind users that more information helps ensure an accurate quote. Service areas – Yetifoam services properties throughout Victoria. Our head office is located in Braeside, and teams regularly work across Melbourne and regional areas. Customers are invited to lodge an enquiry if they’re unsure whether their property is within the service area. Enquiry process – Quotes are typically provided after a short discussion or a site visit. Commenters should upload photos or plans via the contact form so the team can assess the project and respond with details. During periods of high demand, apologise for any delay and reassure the commenter that someone will be in touch shortly. Positive feedback – When commenters share positive experiences, thank them for their feedback and express appreciation. Acknowledge that it was a pleasure to work on their project.",Source: Just SFTAS Doc.pdf
Moisture Resistance,Moisture barrier,"and, condensation, moisture, concerns, barrier","Yetifoam acts as a vapour barrier with a perm rating below 1.0 (per ASTM E96), preventing water ingress and condensation on steel or timber surfaces. It is the go‑to insulation for steel sheds and container homes because it stops interior condensation and rust by blocking moisture. No moisture entrapment – Proper application of Yetifoam requires moisture testing of the substrate. Applicators use calibrated moisture meters to ensure the substrate is dry; if levels are too high, installation is postponed. Because the foam will not adhere properly to a damp surface, there is zero risk of trapping moisture. Once applied, the exothermic curing process drives out residual moisture, and the continuous foam layer prevents future moisture entry. Unlike fibreglass, Yetifoam will not absorb water and will not contribute to mould or rot.• 2 Installation & Application",Source: Just SFTAS Doc.pdf
Thermal Performance,R‑value performance,"and, r‑value, thickness, performance","Yetifoam’s thermal resistance depends on thickness. For example, 90 mm of high‑density batt insulation provides around R2.5 , whereas 90 mm of Yetifoam provides an R‑value of around R4–R4.5 . It's important to know that real‑world R‑values for batt products can be much lower than laboratory values due to wind wash, thermal bridging and installation gaps. Yetifoam maintains its full R‑value because it adheres directly to the substrate and eliminates air leakage.",Source: Just SFTAS Doc.pdf
Moisture Resistance,Air and vapour seal,"seamless, and, seal, air, vapour, benefits, additional, barrier","Yetifoam expands to fill every gap and crevice, creating a continuous air‑ and vapour‑tight barrier . This superior air sealing eliminates drafts and thermal bridging, which are common causes of heat loss in traditional insulation systems. Structural integrity and squeak reduction – Because Yetifoam bonds the subfloor to the joists, it reinforces the floor structure and can eliminate squeaks and movement. Customers frequently report that their floors feel stronger and quieter after installation. Longevity and sag‑free performance – Yetifoam does not sag, settle or lose its insulating properties over time. Unlike fibreglass batts, which can become compressed, dislodged or degraded, Yetifoam remains in place and continues to perform for the life of the building. Sound dampening – The rigid, continuous foam layer also reduces noise transmission through floors, contributing to a quieter home. Pest and rodent deterrence – Yetifoam contains boron compounds that act as a natural insect and rodent deterrent. The solid, high‑density barrier offers no nesting material and is difficult to gnaw through. By sealing every entry point, Yetifoam helps prevent infestations of rodents and wood‑boring insects.",Source: Just SFTAS Doc.pdf
Pricing & Cost,General enquiry / quote,"action, general, request, enquiry, call, quote","Encourage readers to contact the Yetifoam team or request a free quote through the website. Provide the link: https://yetifoam.com.au/contact/ . Installation timing – Installation depends on location and schedule, but can usually be arranged quickly. Direct enquiries to the contact link. Site‑specific questions (e.g., “Can you…?”) – site details (photos, measurements) are needed. Ask users to submit photos via the contact form ( https://book.servicem8.com/ request_service_online_booking? strVendorUUID=d58e8c75-6016-4632-98e1-22a1ba60777b#2a869d1a-919d-4ce5- aee4-22d64361934b ). services properties throughout Victoria, Australia. Rural jobs are grouped so multiple teams can complete them efficiently within a week. The company plans to expand into additional regions; updates will be shared on social media when new areas open. Follow‑up on enquiries – If users mention delays in receiving a response, apologise for the delay and assure them that the team is working through a high volume of enquiries. Confirm that someone will be in touch soon and invite them to send a direct message with their name and suburb to prioritise the follow‑up. Body Corporate enquiries – When a question falls under a Body Corporate’s jurisdiction, note that the decision rests with the Body Corp but offer to provide individual quotes or information that the commenter can pass on.",Source: Just Yeti Doc.pdf
General Information,,availability,"Yetifoam is not offered as a DIY kit. It must be professionally installed to meet performance standards and uphold the lifetime warranty. Encourage contacting the team for installation. Installer partnerships – YetiFoam can only be installed by the company’s trained applicators. However , the team is open to discussions with suitably qualified partners or returning customers and may offer discounted rates. Interested parties should reach out via the contact link.• 1",Source: Just Yeti Doc.pdf
